license_number,company_name,company_dba,license_classification,issued_date,naics_code,naics_name,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu,normalized_name,naics_str,naics_6_str
GBL-0222-09794,"simply organic market, inc.",,Retail Trade,2025-02-13 16:03:58,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,,759 dill avenue,,,,,Atlanta,GA,30310.0,759 Dill Avenue nan nan Atlanta GA 30310,"759 Dill Ave SW, Atlanta, Georgia, 30310",-84.41266697,33.71843301,True,12,X,simply organic market inc,445110.0,445110.0
GBL-0224-27805,smart and smart inc,boost mobile kroger,Retail Trade,2025-01-27 10:38:04,453998.0,All Other Miscellaneous Store Retailers (except Tobacco Stores),,2685,METROPOLITAN,PKWY,SW,Ste 6,Atlanta,GA,30315.0,2685 METROPOLITAN PKWY Atlanta GA 30315,"2685 Metropolitan Pkwy SW, Atlanta, Georgia, 30315",-84.40902109,33.68265742,True,12,X,boost mobile kroger,453998.0,453998.0
GBL-0322-10990,12 hours llc,,Retail Trade,2025-02-17 23:04:24,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,,387 cleveland ave sw,STE 2,,,,Atlanta,GA,30315.0,387 Cleveland Ave Sw STE 2 nan Atlanta GA 30315,"387 Cleveland Ave SW, Suite 2, Atlanta, Georgia, 30315",-84.4021543,33.681607,True,12,X,12 hours llc,445110.0,445110.0
GBL-0323-19981,"publix super markets, inc.","publix super markets, inc. #1825",Retail Trade,2025-01-16 17:18:38,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,,572 hank aaron,,DR,SE,,Atlanta,GA,303122896.0,572 Hank Aaron nan DR Atlanta GA 303122896,"572 Hank Aaron Dr SE, Atlanta, Georgia, 30312",-84.38706218,33.73885104,False,1,V,publix super markets inc 1825,445110.0,445110.0
GBL-0422-12172,maulia inc,quickpick foodmart,Retail Trade,2025-02-13 09:12:27,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,,1634,LAKEWOOD,Avenue,SE,,Atlanta,GA,,1634 LAKEWOOD Avenue Atlanta GA nan,"1634 Lakewood Ave SE, Atlanta, Georgia, 30315",-84.37961637,33.70964388,True,1,Y,quickpick foodmart,445110.0,445110.0
GBL-0422-12617,frazie's meat & market,,Retail Trade,2025-01-22 15:04:25,445210.0,Meat Markets,,2030,Main,ST,NW,R-204,Atlanta,GA,30318.0,2030 Main ST Atlanta GA 30318,"2030 Main St NW, Atlanta, Georgia, 30318",-84.47188067,33.81115371,False,9,D,frazies meat and market,445210.0,445210.0
GBL-0424-30054,lee street meats llc,,Accommodation and Food Services,2025-02-14 13:05:55,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,,1265,LEE,Street,SW,,Atlanta,GA,30310.0,1265 LEE Street Atlanta GA 30310,"1265 Lee St SW, Atlanta, Georgia, 30310",-84.42456483,33.72061646,True,4,S,lee street meats llc,445110.0,445110.0
GBL-0522-13828,"hank aaron grocery, llc",hank aaron grocery,Retail Trade,2025-02-04 10:06:48,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,SE,834 hank aaron drive,,,,,ATLANTA,GA,30315.0,834 HANK AARON DRIVE nan nan ATLANTA GA 30315,"834 Hank Aaron Dr SE, Atlanta, Georgia, 30315",-84.3876552,33.7320386,False,1,V,hank aaron grocery,445110.0,445110.0
GBL-0622-14209,neighborhood 2070 inc,neighborhood grocery,Retail Trade,2025-01-29 09:35:37,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,,2070 alison ct sw,,,,,ATLANTA,GA,30311.0,2070 ALISON CT SW nan nan ATLANTA GA 30311,"2070 Alison Ct SW, Atlanta, Georgia, 30311",-84.45647164,33.70038514,True,11,R,neighborhood grocery,445110.0,445110.0
GBL-0622-14433,yunny llc,city produce,Other Services except Public Administration,2025-01-25 15:06:21,445230.0,Fruit and Vegetable Markets,,209,EDGEWOOD,Avenue,SE,,Atlanta,GA,,209 EDGEWOOD Avenue Atlanta GA nan,"209 Edgewood Ave SE, Atlanta, Georgia, 30303",-84.37988015,33.75404667,False,5,M,city produce,445230.0,445230.0
GBL-0722-15034,"midtown pantry, llc",o4w town pantry,Retail Trade,2025-02-14 11:06:33,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,,536 decatur,,ST,SE,,Atlanta,GA,30312.0,536 Decatur nan ST Atlanta GA 30312,"536 Decatur St SE, Atlanta, Georgia, 30312",-84.37012739,33.75209164,False,2,M,o4w town pantry,445110.0,445110.0
GBL-0722-15096,sh produce-market llc,sh produce,Retail Trade,2025-01-25 15:05:29,445230.0,Fruit and Vegetable Markets,,209,EDGEWOOD,Avenue,SE,,Atlanta,GA,,209 EDGEWOOD Avenue Atlanta GA nan,"209 Edgewood Ave SE, Atlanta, Georgia, 30303",-84.37988015,33.75404667,False,5,M,sh produce,445230.0,445230.0
GBL-0724-31960,"publix super markets, inc.","publix super markets, inc. #1867",Retail Trade,2025-01-21 15:31:53,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,,3330 piedmont,,RD,NE,Suite 16,Atlanta,GA,30305.0,3330 Piedmont nan RD Atlanta GA 30305,"3330 Piedmont Rd NE, Atlanta, Georgia, 30305",-84.37397217,33.84615025,False,7,B,publix super markets inc 1867,445110.0,445110.0
GBL-0821-06193,arabi 2015 inc,welcome foodmart,Retail Trade,2025-02-11 09:05:49,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,,730,BARNETT,ST,NE,,Atlanta,GA,,730 BARNETT ST Atlanta GA nan,"730 Barnett St NE, Atlanta, Georgia, 30306",-84.35901684,33.77442685,False,6,F,welcome foodmart,445110.0,445110.0
GBL-0821-06207,lmn mart inc,lmn mart,Retail Trade,2025-02-11 09:07:09,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,,2489 jonesboro,,RD,SE,,ATLANTA,GA,30315.0,2489 JONESBORO nan RD ATLANTA GA 30315,"2489 Jonesboro Rd SE, Atlanta, Georgia, 30315",-84.36486053,33.68600037,True,1,Z,lmn mart,445110.0,445110.0
GBL-0824-32369,brothers investment 2024 llc,conley food mart,Retail Trade,2025-02-12 09:06:51,445110.0,Supermarkets and Other Grocery (except Convenience) Stores,,807,CONLEY,Road,SE,,Atlanta,GA,,807 CONLEY Road Atlanta GA nan,"807 Conley Rd SE, Atlanta, Georgia, 30354",-84.36338532,33.64838063,True,12,Z,conley food mart,445110.0,445110.0
GBL-0922-16270,atlanta food n market,lt new orleans seafood market,Accommodation and Food Services,2025-02-12 17:03:57,445220.0,Fish and Seafood Markets,E,585 joseph lowery,,BLVD,SW,D,Atlanta,GA,30310.0,585 Joseph Lowery nan BLVD Atlanta GA 30310,"585 Joseph E Lowery Blvd SW, Atlanta, Georgia, 30310",-84.41778102,33.73848048,False,4,T,lt new orleans seafood market,445220.0,445220.0
